,title,artist,last_wk,peak_pos,wks_on_chart
0,As It Was,Harry Styles,-,1,1
1,Heat Waves,Glass Animals,1,1,64
2,Big Energy,Latto,3,3,24
3,Stay,The Kid LAROI & Justin Bieber,2,1,39
4,Enemy,Imagine Dragons X JID,5,5,20
5,Super Gremlin,Kodak Black,4,3,22
6,Ghost,Justin Bieber,6,5,28
7,Woman,Doja Cat,10,8,36
8,abcdefu,GAYLE,7,3,20
9,Thats What I Want,Lil Nas X,9,8,29
10,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",8,1,15
11,Bad Habits,Ed Sheeran,11,2,41
12,Shivers,Ed Sheeran,13,4,30
13,Easy On Me,Adele,12,1,26
14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,7,31
15,Need To Know,Doja Cat,16,8,43
16,Levitating,Dua Lipa,15,2,74
17,Save Your Tears,The Weeknd & Ariana Grande,17,1,66
18,One Right Now,Post Malone & The Weeknd,19,6,22
19,Industry Baby,Lil Nas X & Jack Harlow,21,1,37
20,'Til You Can't,Cody Johnson,18,18,26
21,Good 4 U,Olivia Rodrigo,27,1,47
22,Hrs And Hrs,Muni Long,24,16,15
23,I Hate U,SZA,23,7,18
24,Pushin P,Gunna & Future Featuring Young Thug,22,7,13
25,MAMIII,Becky G X Karol G,26,15,8
26,Doin' This,Luke Combs,28,27,17
27,Bam Bam,Camila Cabello Featuring Ed Sheeran,34,23,5
28,Fingers Crossed,Lauren Spencer-Smith,31,19,14
29,Sweetest Pie,Megan Thee Stallion & Dua Lipa,32,15,4
30,Light Switch,Charlie Puth,30,27,11
31,You Right,Doja Cat & The Weeknd,33,11,40
32,In My Head,Lil Tjay,-,33,1
33,Never Say Never,Cole Swindell / Lainey Wilson,36,34,12
34,AA,Walker Hayes,38,35,13
35,Fancy Like,Walker Hayes,37,3,42
36,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,41,37,29
37,When You're Gone,Shawn Mendes,-,38,1
38,Buy Dirt,Jordan Davis Featuring Luke Bryan,35,22,35
39,Boyfriend,Dove Cameron,47,40,8
40,What Happened To Virgil,Lil Durk Featuring Gunna,25,22,4
41,Wasted On You,Morgan Wallen,48,9,21
42,Slow Down Summer,Thomas Rhett,55,43,7
43,Beers On Me,"Dierks Bentley, Breland & HARDY",43,40,15
44,Sand In My Boots,Morgan Wallen,40,30,38
45,She's All I Wanna Be,Tate McRae,44,44,9
46,Numb Little Bug,Em Beihold,46,46,10
47,Love Nwantiti (Ah Ah Ah),CKay,45,26,29
48,The Motto,Tiesto & Ava Max,42,42,10
49,To The Moon!,JNR CHOI & Sam Tompkins,54,50,6
50,Surface Pressure,Jessica Darrow,39,8,15
51,23,Sam Hunt,50,50,15
52,Peru,Fireboy DML & Ed Sheeran,53,53,10
53,Circles Around This Town,Maren Morris,52,52,13
54,Ahhh Ha,Lil Durk,51,18,7
55,No Love,Summer Walker & SZA,29,13,14
56,Soy El Unico,Yahritza y Su Esencia,20,20,2
57,Nail Tech,Jack Harlow,70,18,7
58,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),49,49,3
59,Broadway Girls,Lil Durk Featuring Morgan Wallen,57,14,16
60,Heart On Fire,Eric Church,61,56,20
61,Me Or Sum,"Nardo Wick, Lil Baby & Future",66,58,13
62,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,67,63,13
63,Flower Shops,ERNEST Featuring Morgan Wallen,71,64,11
64,Freaky Deaky,Tyga X Doja Cat,72,43,6
65,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",60,20,14
66,Thinking With My Dick,Kevin Gates Featuring Juicy J,56,37,4
67,Do We Have A Problem?,Nicki Minaj X Lil Baby,69,2,9
68,If I Was A Cowboy,Miranda Lambert,64,64,10
69,Envolver,Anitta,74,70,2
70,Stick,JID & J. Cole Featuring Kenny Mason & Sheck Wes,-,71,1
71,Trouble With A Heartbreak,Jason Aldean,94,72,3
72,Handsomer,Russ Featuring Ktlyn,63,40,5
73,Rumors,Gucci Mane Featuring Lil Durk,75,51,10
74,To Be Loved By You,Parker McCollum,62,41,19
75,Dos Oruguitas,Sebastian Yatra,65,36,14
76,Give Heaven Some Hell,HARDY,81,77,6
77,Banking On Me,Gunna,82,61,7
78,P Power,Gunna Featuring Drake,79,24,12
79,Make Up Sex,Machine Gun Kelly X blackbear,59,59,2
80,Come Back As A Country Boy,Blake Shelton,97,81,10
81,Damn Strait,Scotty McCreery,-,82,1
82,Petty Too,Lil Durk Featuring Future,83,26,4
83,I Hate YoungBoy,YoungBoy Never Broke Again,-,79,4
84,Over,Lucky Daye,77,77,3
85,She Likes It,Russell Dickerson & Jake Scott,98,86,3
86,Pressure,Ari Lennox,86,66,15
87,Take My Name,Parmalee,-,88,1
88,I Love You So,The Walters,90,71,12
89,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,76,27,14
90,Complete Mess,5 Seconds Of Summer,-,91,1
91,Tom's Diner,AnnenMayKantereit & Giant Rooks,78,78,3
92,Bones,Imagine Dragons,92,87,4
93,Get Into It (Yuh),Doja Cat,-,68,18
94,By Your Side,Rod Wave,93,58,19
95,4KT Baby,YoungBoy Never Broke Again,-,96,1
96,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",-,46,7
97,Blood All On It,Gucci Mane Featuring Key Glock & Young Dolph,-,98,1
98,Desesperados,Rauw Alejandro & Chencho Corleone,-,99,1
99,Money So Big,Yeat,99,95,3
