,title,artist,last_wk,peak_pos,wks_on_chart
0,Heat Waves,Glass Animals,2,1,59
1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,10
2,abcdefu,GAYLE,3,3,15
3,Super Gremlin,Kodak Black,5,4,17
4,Stay,The Kid LAROI & Justin Bieber,6,1,34
5,Easy On Me,Adele,4,1,21
6,Ghost,Justin Bieber,7,7,23
7,Shivers,Ed Sheeran,8,4,25
8,Bad Habits,Ed Sheeran,9,2,36
9,Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,7,26
10,Thats What I Want,Lil Nas X,11,9,24
11,Need To Know,Doja Cat,12,8,38
12,Enemy,Imagine Dragons X JID,20,13,15
13,Pushin P,Gunna & Future Featuring Young Thug,14,7,8
14,Levitating,Dua Lipa,16,2,69
15,Industry Baby,Lil Nas X & Jack Harlow,15,1,32
16,Big Energy,Latto,21,17,19
17,Surface Pressure,Jessica Darrow,13,8,10
18,Ahhh Ha,Lil Durk,42,19,2
19,Save Your Tears,The Weeknd & Ariana Grande,19,1,61
20,Woman,Doja Cat,24,21,31
21,One Right Now,Post Malone & The Weeknd,22,6,17
22,Hrs And Hrs,Muni Long,23,16,10
23,MAMIII,Becky G X Karol G,17,15,3
24,I Hate U,SZA,28,7,13
25,Buy Dirt,Jordan Davis Featuring Luke Bryan,31,22,30
26,'Til You Can't,Cody Johnson,25,25,21
27,Light Switch,Charlie Puth,29,28,6
28,Good 4 U,Olivia Rodrigo,27,1,42
29,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",26,20,9
30,Fancy Like,Walker Hayes,35,3,37
31,You Right,Doja Cat & The Weeknd,33,11,35
32,Sand In My Boots,Morgan Wallen,30,30,33
33,Love Nwantiti (Ah Ah Ah),CKay,34,26,24
34,Knife Talk,Drake Featuring 21 Savage & Project Pat,32,4,26
35,Fingers Crossed,Lauren Spencer-Smith,39,19,9
36,Doin' This,Luke Combs,49,37,12
37,Essence,Wizkid Featuring Justin Bieber & Tems,41,9,34
38,One Mississippi,Kane Brown,36,36,23
39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,37,21,25
40,Nail Tech,Jack Harlow,18,18,2
41,Beers On Me,"Dierks Bentley, Breland & HARDY",52,42,10
42,Freaky Deaky,Tyga X Doja Cat,-,43,1
43,You Should Probably Leave,Chris Stapleton,47,28,35
44,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,38,27,9
45,To Be Loved By You,Parker McCollum,51,46,14
46,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),40,5,17
47,Never Say Never,Cole Swindell / Lainey Wilson,55,48,7
48,Sacrifice,The Weeknd,48,11,8
49,AA,Walker Hayes,53,50,8
50,Dos Oruguitas,Sebastian Yatra,46,36,9
51,Do We Have A Problem?,Nicki Minaj X Lil Baby,44,2,4
52,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,57,53,16
53,Numb Little Bug,Em Beihold,68,54,5
54,Boyfriend,Dove Cameron,65,55,3
55,23,Sam Hunt,56,53,10
56,She's All I Wanna Be,Tate McRae,62,52,4
57,Me Or Sum,"Nardo Wick, Lil Baby & Future",63,58,8
58,Broadway Girls,Lil Durk Featuring Morgan Wallen,59,14,11
59,Better Days,NEIKED X Mae Muller X Polo G,50,23,20
60,Peru,Fireboy DML & Ed Sheeran,70,61,5
61,Oh My God,Adele,45,5,15
62,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,43,23,8
63,Rumors,Gucci Mane Featuring Lil Durk,66,51,5
64,Beautiful Lies,Yung Bleu & Kehlani,74,65,6
65,Pressure,Ari Lennox,67,66,10
66,Heart On Fire,Eric Church,58,56,15
67,High,The Chainsmokers,69,57,5
68,Circles Around This Town,Maren Morris,76,63,8
69,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",54,46,3
70,Waiting On A Miracle,Stephanie Beatriz,60,48,9
71,P Power,Gunna Featuring Drake,75,24,7
72,The Motto,Tiesto & Ava Max,85,73,5
73,Banking On Me,Gunna,61,61,2
74, The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,64,21,3
75,I'm Tired,Labrinth & Zendaya,-,76,1
76,If I Was A Cowboy,Miranda Lambert,79,77,5
77,Do It To It,Acraze Featuring Cherish,82,65,11
78,I Hate YoungBoy,YoungBoy Never Broke Again,-,79,1
79,I Love You So,The Walters,80,71,7
80,Usain Boo,Kodak Black,-,81,1
81,By Your Side,Rod Wave,83,58,14
82,Cigarettes,Juice WRLD,78,43,4
83,Worst Day,Future,73,34,3
84,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,87,85,8
85,Scorpio,Moneybagg Yo,81,66,15
86,Flower Shops,ERNEST Featuring Morgan Wallen,88,68,6
87,Slow Down Summer,Thomas Rhett,-,81,2
88,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",77,71,7
89,I Wish,Kodak Black,-,90,1
90,When I'm Gone,Alesso / Katy Perry,90,90,3
91,Iffy,Chris Brown,93,71,7
92,Home Sweet,Russell Dickerson,94,88,7
93,Bussin,Nicki Minaj X Lil Baby,72,20,3
94,To The Moon!,JNR CHOI & Sam Tompkins,-,95,1
95,Good Morning Gorgeous,Mary J. Blige,89,83,3
96,Don't Play That,King Von & 21 Savage,86,40,4
97,Closer,Saweetie Featuring H.E.R.,96,89,3
98,Come Back As A Country Boy,Blake Shelton,92,85,7
99,Rocking A Cardigan In Atlanta,Lil Shordie Scott,-,100,1
