,STATION,NAME,DATE,AWND,PRCP,TMIN,TMAX
0,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-01-2021,13.42,0.0,56.0,69.0
1,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-01-2021,13.87,0.0,48.0,57.0
2,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-01-2021,7.83,0.0,47.0,56.0
3,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-01-2021,6.49,0.0,44.0,68.0
4,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-01-2021,5.82,0.0,52.0,61.0
5,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-01-2021,12.3,0.0,51.0,62.0
6,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-01-2021,22.15,0.97,50.0,64.0
7,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-01-2021,21.25,0.0,43.0,51.0
8,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-01-2021,15.66,0.0,41.0,51.0
9,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-01-2021,15.66,0.13,40.0,45.0
10,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-01-2021,18.12,0.48,41.0,46.0
11,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-01-2021,9.17,0.0,38.0,44.0
12,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-01-2021,4.47,0.0,39.0,55.0
13,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-01-2021,10.51,0.0,39.0,70.0
14,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-01-2021,14.99,0.0,50.0,58.0
15,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-01-2021,10.96,0.0,46.0,54.0
16,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-01-2021,6.26,0.0,39.0,61.0
17,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-01-2021,6.26,0.0,42.0,64.0
18,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-01-2021,8.28,0.0,50.0,75.0
19,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-01-2021,6.71,0.0,52.0,68.0
20,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-01-2021,10.51,0.0,59.0,73.0
21,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-01-2021,6.26,0.56,58.0,67.0
22,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-01-2021,11.41,0.06,58.0,63.0
23,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-01-2021,9.4,0.0,60.0,77.0
24,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-01-2021,14.09,0.0,67.0,79.0
25,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-01-2021,9.84,0.03,61.0,73.0
26,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-01-2021,15.21,0.16,53.0,73.0
27,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-01-2021,16.78,0.0,44.0,58.0
28,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-01-2021,10.07,0.0,46.0,59.0
29,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-01-2021,10.74,0.0,50.0,72.0
30,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-01-2021,20.13,0.03,53.0,71.0
31,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-02-2021,23.94,0.0,45.0,58.0
32,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-02-2021,14.09,0.0,42.0,55.0
33,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-02-2021,8.95,0.0,43.0,58.0
34,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-02-2021,12.75,0.0,47.0,72.0
35,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-02-2021,15.88,0.12,50.0,66.0
36,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-02-2021,12.3,0.08,51.0,56.0
37,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-02-2021,10.96,0.0,49.0,59.0
38,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-02-2021,14.09,0.0,50.0,66.0
39,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-02-2021,6.49,0.08,58.0,72.0
40,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-02-2021,8.28,0.0,61.0,71.0
41,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-02-2021,10.74,2.12,53.0,77.0
42,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-02-2021,17.67,1.09,45.0,56.0
43,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-02-2021,19.24,0.0,43.0,49.0
44,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-02-2021,15.43,0.0,39.0,49.0
45,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-02-2021,21.03,0.36,30.0,43.0
46,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-02-2021,12.08,0.0,27.0,35.0
47,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-02-2021,19.24,0.88,32.0,54.0
48,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-02-2021,19.46,0.19,38.0,49.0
49,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-02-2021,17.0,0.0,35.0,51.0
50,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-02-2021,8.72,0.0,35.0,56.0
51,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-02-2021,10.51,0.0,44.0,65.0
