,Cases_Guinea,Cases_Liberia,Cases_SierraLeone,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali
0 days,49.0,8.0,6.0,0.0,1.0,1.0,1.0,1.0
1 days,,3.0,2.0,,,,,
2 days,86.0,7.0,,,,,,
3 days,86.0,,,,,,,
4 days,86.0,8.0,2.0,1.0,,1.0,1.0,
5 days,103.0,8.0,2.0,,1.0,,,1.0
6 days,112.0,,,,,,1.0,
7 days,112.0,,,3.0,3.0,1.0,,1.0
8 days,,18.0,2.0,,,,,
9 days,122.0,,,4.0,,,,
10 days,127.0,,,,1.0,,,
11 days,,21.0,2.0,,,2.0,1.0,1.0
12 days,,,,9.0,,,,
13 days,143.0,25.0,2.0,,1.0,3.0,,1.0
14 days,,,,13.0,,,1.0,
15 days,,26.0,2.0,,,,,
16 days,151.0,,,,,,,
17 days,,,,13.0,,,,
18 days,158.0,,,,,3.0,,1.0
19 days,,,12.0,12.0,,,1.0,
20 days,159.0,27.0,,,,,,4.0
21 days,,27.0,,12.0,1.0,4.0,1.0,
22 days,,,,,,,,
23 days,168.0,,,,1.0,,,
24 days,,,,15.0,,,,
25 days,197.0,34.0,,,,,1.0,5.0
26 days,203.0,,0.0,15.0,,4.0,,
27 days,,,0.0,,,,1.0,6.0
28 days,,35.0,0.0,16.0,1.0,4.0,,
29 days,208.0,,,,,,,
30 days,,,0.0,,,,,
31 days,,,,,1.0,,,
32 days,218.0,,,,,4.0,1.0,7.0
33 days,,,,,,,,
34 days,,,,17.0,,4.0,1.0,
35 days,224.0,13.0,0.0,,1.0,,,
36 days,,,,,,,,
37 days,,13.0,0.0,,,,,
38 days,,,,,1.0,,,
39 days,,13.0,0.0,21.0,,4.0,1.0,7.0
40 days,226.0,,,,,,,
41 days,,13.0,0.0,,,4.0,1.0,
42 days,231.0,,,,1.0,,,
43 days,,,,,,,,
44 days,235.0,12.0,0.0,22.0,1.0,,,
45 days,,,,,,,,
46 days,236.0,12.0,0.0,21.0,,4.0,1.0,7.0
47 days,,,,,,,,
48 days,,,,,,4.0,,
49 days,233.0,,,21.0,1.0,,,
50 days,,,,,,,,
51 days,248.0,,,,,,,
52 days,,,,21.0,,,,
53 days,,,,,,4.0,1.0,
54 days,,,,,,,,
55 days,,,,,,,,
56 days,,,,,,,,
57 days,,12.0,0.0,,1.0,,,
58 days,,,,,,,,
59 days,,,,,1.0,,,
60 days,,,,20.0,,4.0,1.0,
61 days,,12.0,16.0,,,,,
62 days,258.0,13.0,50.0,20.0,,,,
63 days,,,,,1.0,,,
64 days,,,,,,,,
65 days,,,,,1.0,,,
66 days,281.0,13.0,79.0,,,,,
67 days,291.0,,,20.0,,4.0,,
68 days,,13.0,,,,,,
69 days,,,,,,,,
70 days,,13.0,81.0,20.0,1.0,,,
71 days,328.0,,,,,,,
72 days,,,,,1.0,,,
73 days,344.0,,,,,,,
74 days,,,,20.0,,,,
75 days,,13.0,89.0,,,,,
76 days,,,,,,,,
77 days,,,,20.0,1.0,,,
78 days,,,,,,,,
79 days,,,,,1.0,,,
80 days,351.0,,,,,,,
81 days,,33.0,,20.0,,,,
82 days,,,97.0,,,,,
83 days,,,136.0,20.0,,,,
84 days,,41.0,,,1.0,,,
85 days,,,158.0,,,,,
86 days,398.0,,,,,,,
87 days,,51.0,,,,,,
88 days,390.0,,,20.0,,,,
89 days,,,,,,,,
90 days,390.0,,,,,,,
91 days,,,,,1.0,,,
92 days,,,,,,,,
93 days,,,,,,,,
94 days,,,,,,,,
95 days,,107.0,239.0,,,,,
96 days,,,,20.0,,,,
97 days,,115.0,252.0,,,,,
98 days,,,,20.0,1.0,,,
99 days,,,,,,,,
100 days,413.0,,,,,,,
101 days,,131.0,305.0,,,,,
102 days,412.0,,,20.0,,,,
103 days,,142.0,337.0,,,,,
104 days,,,,20.0,,,,
105 days,,,,,,,,
106 days,408.0,,,,,,,
107 days,,172.0,386.0,,,,,
108 days,409.0,,,,,,,
109 days,,174.0,397.0,20.0,,,,
110 days,,,,,,,,
111 days,,,,20.0,,,,
